cbsa_code,cbsa_name,year,permits_total,permits_sf,permits_mf_small,permits_mf_large,data_source,dq_flag
12060,Atlanta-Sandy Springs-Alpharetta,2000,66031,48504,678,16849,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2001,67180,50317,502,16361,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2002,68710,52253,492,15965,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2003,66793,55423,519,10851,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2004,74547,57825,585,16137,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2005,73475,62173,292,11010,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2006,68818,54489,700,13629,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2007,45240,31559,669,13012,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2008,19454,12199,211,7044,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2009,6615,5503,118,994,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2010,7584,6457,90,1037,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2011,8688,6268,63,2357,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2012,14420,9207,194,5019,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2013,24495,15022,207,9266,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2014,26756,17057,257,9442,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2015,30517,20038,197,10282,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2016,36485,23226,152,13107,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2017,33998,25139,157,8702,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2018,39409,26461,198,12750,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2019,32928,26353,157,6418,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2020,32447,28733,324,3390,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2021,39522,31610,235,7677,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2022,48617,26745,584,21288,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2023,38749,24132,390,14227,census_bps,
12060,Atlanta-Sandy Springs-Alpharetta,2024,40687,25773,959,13955,census_bps,
12420,Austin-Round Rock-Georgetown,2000,21889,13045,780,8064,census_bps,
12420,Austin-Round Rock-Georgetown,2001,17873,9174,354,8345,census_bps,
12420,Austin-Round Rock-Georgetown,2002,17232,11072,590,5570,census_bps,
12420,Austin-Round Rock-Georgetown,2003,15317,12103,715,2499,census_bps,
12420,Austin-Round Rock-Georgetown,2004,18015,14309,600,3106,census_bps,
12420,Austin-Round Rock-Georgetown,2005,23241,17346,634,5261,census_bps,
12420,Austin-Round Rock-Georgetown,2006,26096,17615,1082,7399,census_bps,
12420,Austin-Round Rock-Georgetown,2007,19903,12120,881,6902,census_bps,
12420,Austin-Round Rock-Georgetown,2008,11792,7710,270,3812,census_bps,
12420,Austin-Round Rock-Georgetown,2009,8758,6678,31,2049,census_bps,
12420,Austin-Round Rock-Georgetown,2010,8786,6200,296,2290,census_bps,
12420,Austin-Round Rock-Georgetown,2011,10239,6231,81,3927,census_bps,
12420,Austin-Round Rock-Georgetown,2012,19563,8229,114,11220,census_bps,
12420,Austin-Round Rock-Georgetown,2013,20852,8941,402,11509,census_bps,
12420,Austin-Round Rock-Georgetown,2014,19949,11515,444,7990,census_bps,
12420,Austin-Round Rock-Georgetown,2015,22370,11857,448,10065,census_bps,
12420,Austin-Round Rock-Georgetown,2016,21861,13327,238,8296,census_bps,
12420,Austin-Round Rock-Georgetown,2017,26700,16119,153,10428,census_bps,
12420,Austin-Round Rock-Georgetown,2018,30035,17030,165,12840,census_bps,
12420,Austin-Round Rock-Georgetown,2019,32037,18426,344,13267,census_bps,
12420,Austin-Round Rock-Georgetown,2020,42264,22570,417,19277,census_bps,
12420,Austin-Round Rock-Georgetown,2021,50907,24486,779,25642,census_bps,
12420,Austin-Round Rock-Georgetown,2022,42362,19715,468,22179,census_bps,
12420,Austin-Round Rock-Georgetown,2023,38773,16532,488,21753,census_bps,
12420,Austin-Round Rock-Georgetown,2024,32294,16435,733,15126,census_bps,
13820,Birmingham-Hoover,2000,5214,4433,7,774,census_bps,
13820,Birmingham-Hoover,2001,5196,4720,7,469,census_bps,
13820,Birmingham-Hoover,2002,5317,5018,32,267,census_bps,
13820,Birmingham-Hoover,2003,6673,5970,10,693,census_bps,
13820,Birmingham-Hoover,2004,7800,6358,66,1376,census_bps,
13820,Birmingham-Hoover,2005,7668,6873,74,721,census_bps,
13820,Birmingham-Hoover,2006,7807,6437,59,1311,census_bps,
13820,Birmingham-Hoover,2007,5433,4930,17,486,census_bps,
13820,Birmingham-Hoover,2008,3359,2325,18,1016,census_bps,
13820,Birmingham-Hoover,2009,1807,1683,68,56,census_bps,
13820,Birmingham-Hoover,2010,1924,1563,21,340,census_bps,
13820,Birmingham-Hoover,2011,2362,1795,0,567,census_bps,
13820,Birmingham-Hoover,2012,3301,1847,4,1450,census_bps,
13820,Birmingham-Hoover,2013,2776,2016,46,714,census_bps,
13820,Birmingham-Hoover,2014,3364,2318,87,959,census_bps,
13820,Birmingham-Hoover,2015,3733,2414,16,1303,census_bps,
13820,Birmingham-Hoover,2016,3312,2730,8,574,census_bps,
13820,Birmingham-Hoover,2017,2689,2677,6,6,census_bps,
13820,Birmingham-Hoover,2018,3025,2698,28,299,census_bps,
13820,Birmingham-Hoover,2019,3236,3097,29,110,census_bps,
13820,Birmingham-Hoover,2020,3898,3565,26,307,census_bps,
13820,Birmingham-Hoover,2021,4022,3471,7,544,census_bps,
13820,Birmingham-Hoover,2022,4200,3098,110,992,census_bps,
13820,Birmingham-Hoover,2023,3452,3102,26,324,census_bps,
13820,Birmingham-Hoover,2024,3746,3165,25,556,census_bps,
14460,Boston-Cambridge-Newton,2000,11890,8517,738,2635,census_bps,
14460,Boston-Cambridge-Newton,2001,11000,7486,740,2774,census_bps,
14460,Boston-Cambridge-Newton,2002,11030,7403,939,2688,census_bps,
14460,Boston-Cambridge-Newton,2003,14041,7035,1331,5675,census_bps,
14460,Boston-Cambridge-Newton,2004,15423,8204,1182,6037,census_bps,
14460,Boston-Cambridge-Newton,2005,17442,8318,1212,7912,census_bps,
14460,Boston-Cambridge-Newton,2006,13916,6167,1347,6402,census_bps,
14460,Boston-Cambridge-Newton,2007,11248,5305,714,5229,census_bps,
14460,Boston-Cambridge-Newton,2008,7634,3382,458,3794,census_bps,
14460,Boston-Cambridge-Newton,2009,5476,3073,355,2048,census_bps,
14460,Boston-Cambridge-Newton,2010,6672,3748,367,2557,census_bps,
14460,Boston-Cambridge-Newton,2011,6139,3394,424,2321,census_bps,
14460,Boston-Cambridge-Newton,2012,8851,4126,435,4290,census_bps,
14460,Boston-Cambridge-Newton,2013,12021,4953,562,6506,census_bps,
14460,Boston-Cambridge-Newton,2014,12024,4991,551,6482,census_bps,
14460,Boston-Cambridge-Newton,2015,15036,4844,729,9463,census_bps,
14460,Boston-Cambridge-Newton,2016,13247,5243,834,7170,census_bps,
14460,Boston-Cambridge-Newton,2017,14757,4949,782,9026,census_bps,
14460,Boston-Cambridge-Newton,2018,14183,4930,889,8364,census_bps,
14460,Boston-Cambridge-Newton,2019,15088,4299,860,9929,census_bps,
14460,Boston-Cambridge-Newton,2020,14248,4457,871,8920,census_bps,
14460,Boston-Cambridge-Newton,2021,16602,4820,869,10913,census_bps,
14460,Boston-Cambridge-Newton,2022,13595,4025,847,8723,census_bps,
14460,Boston-Cambridge-Newton,2023,10822,3396,717,6709,census_bps,
14460,Boston-Cambridge-Newton,2024,11235,3734,654,6847,census_bps,
14860,Bridgeport-Stamford-Norwalk,2000,1885,1131,150,603,census_bps,
14860,Bridgeport-Stamford-Norwalk,2001,1837,1102,146,587,census_bps,
14860,Bridgeport-Stamford-Norwalk,2002,2088,1252,167,668,census_bps,
14860,Bridgeport-Stamford-Norwalk,2003,2133,1279,170,682,census_bps,
14860,Bridgeport-Stamford-Norwalk,2004,2340,1404,187,748,census_bps,
14860,Bridgeport-Stamford-Norwalk,2005,2424,1454,193,775,census_bps,
14860,Bridgeport-Stamford-Norwalk,2006,2594,1556,207,830,census_bps,
14860,Bridgeport-Stamford-Norwalk,2007,1948,1168,155,623,census_bps,
14860,Bridgeport-Stamford-Norwalk,2008,1302,781,104,416,census_bps,
14860,Bridgeport-Stamford-Norwalk,2009,910,546,72,291,census_bps,
14860,Bridgeport-Stamford-Norwalk,2010,774,464,61,247,census_bps,
14860,Bridgeport-Stamford-Norwalk,2011,884,530,70,282,census_bps,
14860,Bridgeport-Stamford-Norwalk,2012,1082,649,86,346,census_bps,
14860,Bridgeport-Stamford-Norwalk,2013,1400,840,112,448,census_bps,
14860,Bridgeport-Stamford-Norwalk,2014,1640,984,131,524,census_bps,
14860,Bridgeport-Stamford-Norwalk,2015,1866,1119,149,597,census_bps,
14860,Bridgeport-Stamford-Norwalk,2016,1840,1104,147,588,census_bps,
14860,Bridgeport-Stamford-Norwalk,2017,1889,1133,151,604,census_bps,
14860,Bridgeport-Stamford-Norwalk,2018,1945,1167,155,622,census_bps,
14860,Bridgeport-Stamford-Norwalk,2019,1898,1138,151,607,census_bps,
14860,Bridgeport-Stamford-Norwalk,2020,2048,1228,163,655,census_bps,
14860,Bridgeport-Stamford-Norwalk,2021,2442,1465,195,781,census_bps,
14860,Bridgeport-Stamford-Norwalk,2022,2500,1500,200,800,census_bps,
14860,Bridgeport-Stamford-Norwalk,2023,1550,453,60,1037,census_bps,
14860,Bridgeport-Stamford-Norwalk,2023,2237,1342,178,715,census_bps,
14860,Bridgeport-Stamford-Norwalk,2024,1912,501,75,1336,census_bps,
14860,Bridgeport-Stamford-Norwalk,2024,1937,1162,154,619,census_bps,
15380,Buffalo-Cheektowaga,2000,2672,1903,30,739,census_bps,
15380,Buffalo-Cheektowaga,2001,2784,2116,41,627,census_bps,
15380,Buffalo-Cheektowaga,2002,2960,2481,126,353,census_bps,
15380,Buffalo-Cheektowaga,2003,2925,2395,73,457,census_bps,
15380,Buffalo-Cheektowaga,2004,2510,1856,54,600,census_bps,
15380,Buffalo-Cheektowaga,2005,2096,1690,98,308,census_bps,
15380,Buffalo-Cheektowaga,2006,2023,1473,84,466,census_bps,
15380,Buffalo-Cheektowaga,2007,1932,1388,14,530,census_bps,
15380,Buffalo-Cheektowaga,2008,1544,1017,72,455,census_bps,
15380,Buffalo-Cheektowaga,2009,1367,993,54,320,census_bps,
15380,Buffalo-Cheektowaga,2010,1498,1037,39,422,census_bps,
15380,Buffalo-Cheektowaga,2011,1315,790,246,279,census_bps,
15380,Buffalo-Cheektowaga,2012,1252,915,71,266,census_bps,
15380,Buffalo-Cheektowaga,2013,1934,1016,86,832,census_bps,
15380,Buffalo-Cheektowaga,2014,1878,1057,80,741,census_bps,
15380,Buffalo-Cheektowaga,2015,1677,992,36,649,census_bps,
15380,Buffalo-Cheektowaga,2016,1964,931,28,1005,census_bps,
15380,Buffalo-Cheektowaga,2017,1657,979,29,649,census_bps,
15380,Buffalo-Cheektowaga,2018,1453,975,46,432,census_bps,
15380,Buffalo-Cheektowaga,2019,1693,912,44,737,census_bps,
15380,Buffalo-Cheektowaga,2020,1444,912,63,469,census_bps,
15380,Buffalo-Cheektowaga,2021,1553,980,99,474,census_bps,
15380,Buffalo-Cheektowaga,2022,1591,1213,81,297,census_bps,
15380,Buffalo-Cheektowaga,2023,1261,755,102,404,census_bps,
15380,Buffalo-Cheektowaga,2024,1375,749,48,578,census_bps,
16740,Charlotte-Concord-Gastonia,2000,26244,18203,394,7647,census_bps,
16740,Charlotte-Concord-Gastonia,2001,24767,18692,527,5548,census_bps,
16740,Charlotte-Concord-Gastonia,2002,23124,19276,347,3501,census_bps,
16740,Charlotte-Concord-Gastonia,2003,22619,19091,334,3194,census_bps,
16740,Charlotte-Concord-Gastonia,2004,25864,21383,376,4105,census_bps,
16740,Charlotte-Concord-Gastonia,2005,26661,23152,221,3288,census_bps,
16740,Charlotte-Concord-Gastonia,2006,29415,24040,264,5111,census_bps,
16740,Charlotte-Concord-Gastonia,2007,26369,20576,158,5635,census_bps,
16740,Charlotte-Concord-Gastonia,2008,15052,10056,217,4779,census_bps,
16740,Charlotte-Concord-Gastonia,2009,8184,5507,84,2593,census_bps,
16740,Charlotte-Concord-Gastonia,2010,6133,5181,254,698,census_bps,
16740,Charlotte-Concord-Gastonia,2011,7143,5591,190,1362,census_bps,
16740,Charlotte-Concord-Gastonia,2012,13256,7611,236,5409,census_bps,
16740,Charlotte-Concord-Gastonia,2013,16878,11105,203,5570,census_bps,
16740,Charlotte-Concord-Gastonia,2014,18570,11336,134,7100,census_bps,
16740,Charlotte-Concord-Gastonia,2015,19579,12422,281,6876,census_bps,
16740,Charlotte-Concord-Gastonia,2016,20615,14082,105,6428,census_bps,
16740,Charlotte-Concord-Gastonia,2017,22912,15290,114,7508,census_bps,
16740,Charlotte-Concord-Gastonia,2018,26254,16452,162,9640,census_bps,
16740,Charlotte-Concord-Gastonia,2019,24637,16253,146,8238,census_bps,
16740,Charlotte-Concord-Gastonia,2020,26548,19690,134,6724,census_bps,
16740,Charlotte-Concord-Gastonia,2021,30126,20830,110,9186,census_bps,
16740,Charlotte-Concord-Gastonia,2022,27212,19029,189,7994,census_bps,
16740,Charlotte-Concord-Gastonia,2023,29419,19146,146,10127,census_bps,
16740,Charlotte-Concord-Gastonia,2024,25935,18954,154,6827,census_bps,
16980,Chicago-Naperville-Elgin,2000,41476,29901,2229,9346,census_bps,
16980,Chicago-Naperville-Elgin,2001,44318,30876,2307,11135,census_bps,
16980,Chicago-Naperville-Elgin,2002,48037,33044,2540,12453,census_bps,
16980,Chicago-Naperville-Elgin,2003,48508,34942,2917,10649,census_bps,
16980,Chicago-Naperville-Elgin,2004,46235,34976,2939,8320,census_bps,
16980,Chicago-Naperville-Elgin,2005,52808,36608,3789,12411,census_bps,
16980,Chicago-Naperville-Elgin,2006,45814,27960,2747,15107,census_bps,
16980,Chicago-Naperville-Elgin,2007,33416,17598,1826,13992,census_bps,
16980,Chicago-Naperville-Elgin,2008,15769,7360,798,7611,census_bps,
16980,Chicago-Naperville-Elgin,2009,5922,4218,266,1438,census_bps,
16980,Chicago-Naperville-Elgin,2010,7019,4085,276,2658,census_bps,
16980,Chicago-Naperville-Elgin,2011,7366,4025,289,3052,census_bps,
16980,Chicago-Naperville-Elgin,2012,9129,5511,434,3184,census_bps,
16980,Chicago-Naperville-Elgin,2013,11424,7108,512,3804,census_bps,
16980,Chicago-Naperville-Elgin,2014,15412,7572,563,7277,census_bps,
16980,Chicago-Naperville-Elgin,2015,15525,7498,790,7237,census_bps,
16980,Chicago-Naperville-Elgin,2016,19413,7850,877,10686,census_bps,
16980,Chicago-Naperville-Elgin,2017,21932,8222,1018,12692,census_bps,
16980,Chicago-Naperville-Elgin,2018,17370,8318,945,8107,census_bps,
16980,Chicago-Naperville-Elgin,2019,17401,7352,1103,8946,census_bps,
16980,Chicago-Naperville-Elgin,2020,14769,7898,851,6020,census_bps,
16980,Chicago-Naperville-Elgin,2021,17539,9790,983,6766,census_bps,
16980,Chicago-Naperville-Elgin,2022,17355,8356,942,8057,census_bps,
16980,Chicago-Naperville-Elgin,2023,14801,8294,1002,5505,census_bps,
16980,Chicago-Naperville-Elgin,2024,18064,9509,736,7819,census_bps,
17460,Cincinnati,2000,3458,2074,276,1106,census_bps,
17460,Cincinnati,2001,3485,2091,278,1115,census_bps,
17460,Cincinnati,2002,3809,2285,304,1218,census_bps,
17460,Cincinnati,2003,4261,2556,340,1363,census_bps,
17460,Cincinnati,2004,4224,2534,337,1351,census_bps,
17460,Cincinnati,2005,4447,2668,355,1423,census_bps,
17460,Cincinnati,2006,4612,2767,368,1475,census_bps,
17460,Cincinnati,2007,3644,2186,291,1166,census_bps,
17460,Cincinnati,2008,2416,1449,193,773,census_bps,
17460,Cincinnati,2009,1617,970,129,517,census_bps,
17460,Cincinnati,2010,1450,870,116,464,census_bps,
17460,Cincinnati,2011,1538,922,123,492,census_bps,
17460,Cincinnati,2012,2186,1311,174,699,census_bps,
17460,Cincinnati,2013,2441,1464,195,781,census_bps,
17460,Cincinnati,2014,2672,1603,213,855,census_bps,
17460,Cincinnati,2015,3148,1888,251,1007,census_bps,
17460,Cincinnati,2016,3118,1870,249,997,census_bps,
17460,Cincinnati,2017,3473,2083,277,1111,census_bps,
17460,Cincinnati,2018,3393,2035,271,1085,census_bps,
17460,Cincinnati,2019,3429,2057,274,1097,census_bps,
17460,Cincinnati,2020,4105,2463,328,1313,census_bps,
17460,Cincinnati,2021,4449,2669,355,1423,census_bps,
17460,Cincinnati,2022,4289,2573,343,1372,census_bps,
17460,Cincinnati,2023,3677,2206,294,1176,census_bps,
17460,Cincinnati,2024,3720,2232,297,1190,census_bps,
18140,Columbus,2000,15392,10704,887,3801,census_bps,
18140,Columbus,2001,15802,10623,829,4350,census_bps,
18140,Columbus,2002,17160,10959,908,5293,census_bps,
18140,Columbus,2003,16609,12199,952,3458,census_bps,
18140,Columbus,2004,13413,10894,877,1642,census_bps,
18140,Columbus,2005,12536,8899,1370,2267,census_bps,
18140,Columbus,2006,7992,5738,817,1437,census_bps,
18140,Columbus,2007,6465,4381,570,1514,census_bps,
18140,Columbus,2008,4542,2651,497,1394,census_bps,
18140,Columbus,2009,4129,2602,195,1332,census_bps,
18140,Columbus,2010,4479,2915,217,1347,census_bps,
18140,Columbus,2011,4757,2443,302,2012,census_bps,
18140,Columbus,2012,6846,2944,322,3580,census_bps,
18140,Columbus,2013,8399,3529,418,4452,census_bps,
18140,Columbus,2014,7044,3497,343,3204,census_bps,
18140,Columbus,2015,7555,3523,330,3702,census_bps,
18140,Columbus,2016,8637,4157,328,4152,census_bps,
18140,Columbus,2017,8892,4295,158,4439,census_bps,
18140,Columbus,2018,9440,4493,336,4611,census_bps,
18140,Columbus,2019,8090,4389,258,3443,census_bps,
18140,Columbus,2020,12358,5481,265,6612,census_bps,
18140,Columbus,2021,12062,6844,162,5056,census_bps,
18140,Columbus,2022,12075,5603,180,6292,census_bps,
18140,Columbus,2023,11440,5364,370,5706,census_bps,
18140,Columbus,2024,13962,6094,223,7645,census_bps,
19100,Dallas-Fort Worth-Arlington,2000,44695,36129,511,8055,census_bps,
19100,Dallas-Fort Worth-Arlington,2001,49824,37842,356,11626,census_bps,
19100,Dallas-Fort Worth-Arlington,2002,51566,38258,1160,12148,census_bps,
19100,Dallas-Fort Worth-Arlington,2003,52807,40531,912,11364,census_bps,
19100,Dallas-Fort Worth-Arlington,2004,54170,45901,594,7675,census_bps,
19100,Dallas-Fort Worth-Arlington,2005,59895,49489,594,9812,census_bps,
19100,Dallas-Fort Worth-Arlington,2006,56503,43580,925,11998,census_bps,
19100,Dallas-Fort Worth-Arlington,2007,43558,28146,904,14508,census_bps,
19100,Dallas-Fort Worth-Arlington,2008,36318,17916,436,17966,census_bps,
19100,Dallas-Fort Worth-Arlington,2009,20364,14135,296,5933,census_bps,
19100,Dallas-Fort Worth-Arlington,2010,19555,14417,148,4990,census_bps,
19100,Dallas-Fort Worth-Arlington,2011,24825,14037,87,10701,census_bps,
19100,Dallas-Fort Worth-Arlington,2012,35038,18086,300,16652,census_bps,
19100,Dallas-Fort Worth-Arlington,2013,37908,21222,442,16244,census_bps,
19100,Dallas-Fort Worth-Arlington,2014,41279,22415,344,18520,census_bps,
19100,Dallas-Fort Worth-Arlington,2015,56993,28889,498,27606,census_bps,
19100,Dallas-Fort Worth-Arlington,2016,55625,29560,576,25489,census_bps,
19100,Dallas-Fort Worth-Arlington,2017,62317,34410,525,27382,census_bps,
19100,Dallas-Fort Worth-Arlington,2018,63609,36564,832,26213,census_bps,
19100,Dallas-Fort Worth-Arlington,2019,62708,34939,675,27094,census_bps,
19100,Dallas-Fort Worth-Arlington,2020,60812,44005,1049,15758,census_bps,
19100,Dallas-Fort Worth-Arlington,2021,78705,51996,1468,25241,census_bps,
19100,Dallas-Fort Worth-Arlington,2022,77927,43685,2000,32242,census_bps,
19100,Dallas-Fort Worth-Arlington,2023,68029,44366,1348,22315,census_bps,
19100,Dallas-Fort Worth-Arlington,2024,71788,46440,2198,23150,census_bps,
19740,Denver-Aurora-Lakewood,2000,27571,16156,631,10784,census_bps,
19740,Denver-Aurora-Lakewood,2001,27709,15319,550,11840,census_bps,
19740,Denver-Aurora-Lakewood,2002,22378,14318,670,7390,census_bps,
19740,Denver-Aurora-Lakewood,2003,17359,14162,362,2835,census_bps,
19740,Denver-Aurora-Lakewood,2004,21836,18599,348,2889,census_bps,
19740,Denver-Aurora-Lakewood,2005,20849,17745,348,2756,census_bps,
19740,Denver-Aurora-Lakewood,2006,18070,13166,373,4531,census_bps,
19740,Denver-Aurora-Lakewood,2007,14217,7859,374,5984,census_bps,
19740,Denver-Aurora-Lakewood,2008,8814,4003,206,4605,census_bps,
19740,Denver-Aurora-Lakewood,2009,4112,2723,110,1279,census_bps,
19740,Denver-Aurora-Lakewood,2010,5042,3660,247,1135,census_bps,
19740,Denver-Aurora-Lakewood,2011,6673,3630,261,2782,census_bps,
19740,Denver-Aurora-Lakewood,2012,13760,5606,239,7915,census_bps,
19740,Denver-Aurora-Lakewood,2013,15475,6965,322,8188,census_bps,
19740,Denver-Aurora-Lakewood,2014,15767,8064,371,7332,census_bps,
19740,Denver-Aurora-Lakewood,2015,18326,9324,324,8678,census_bps,
19740,Denver-Aurora-Lakewood,2016,21947,10247,486,11214,census_bps,
19740,Denver-Aurora-Lakewood,2017,22735,10978,366,11391,census_bps,
19740,Denver-Aurora-Lakewood,2018,21729,11808,358,9563,census_bps,
19740,Denver-Aurora-Lakewood,2019,19308,11081,190,8037,census_bps,
19740,Denver-Aurora-Lakewood,2020,19732,11234,353,8145,census_bps,
19740,Denver-Aurora-Lakewood,2021,30006,13113,865,16028,census_bps,
19740,Denver-Aurora-Lakewood,2022,23009,10099,568,12342,census_bps,
19740,Denver-Aurora-Lakewood,2023,20650,9012,276,11362,census_bps,
19740,Denver-Aurora-Lakewood,2024,15570,9012,129,6429,census_bps,
24340,Grand Rapids-Kentwood,2000,6116,5146,203,767,census_bps,
24340,Grand Rapids-Kentwood,2001,6377,5310,150,917,census_bps,
24340,Grand Rapids-Kentwood,2002,6597,5356,286,955,census_bps,
24340,Grand Rapids-Kentwood,2003,6782,5623,430,729,census_bps,
24340,Grand Rapids-Kentwood,2004,6895,5679,339,877,census_bps,
24340,Grand Rapids-Kentwood,2005,5837,5203,122,512,census_bps,
24340,Grand Rapids-Kentwood,2006,4295,3638,93,564,census_bps,
24340,Grand Rapids-Kentwood,2007,2892,2367,98,427,census_bps,
24340,Grand Rapids-Kentwood,2008,1749,1488,20,241,census_bps,
24340,Grand Rapids-Kentwood,2009,1226,1152,16,58,census_bps,
24340,Grand Rapids-Kentwood,2010,1299,1255,13,31,census_bps,
24340,Grand Rapids-Kentwood,2011,1512,1328,14,170,census_bps,
24340,Grand Rapids-Kentwood,2012,2065,1726,38,301,census_bps,
24340,Grand Rapids-Kentwood,2013,2343,2124,50,169,census_bps,
24340,Grand Rapids-Kentwood,2014,3224,2326,75,823,census_bps,
